"topic","mean_gamma","median_gamma","max_gamma","n_dominant_docs"
6,0.249958367141169,7.95347605167112e-07,0.999995558910467,3
1,0.166707675129576,8.25505638496232e-07,0.999997364250102,2
4,0.166666663278067,8.47510270766868e-07,0.999996080537114,2
2,0.161953968283293,8.66213275808932e-07,0.999996442672471,2
3,0.140679420275377,9.34542415981981e-07,0.999996666098331,2
5,0.114033905892518,8.6621327566791e-07,0.99999635786162,1
